2025-04-18 19:53:17,865 INFO    Thread-13 :26316 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-18 19:53:17,867 INFO    Thread-13 :26316 [wandb_setup.py:_flush():67] Configure stats pid to 26316
2025-04-18 19:53:17,867 INFO    Thread-13 :26316 [wandb_setup.py:_flush():67] Loading settings from C:\Users\zeesh\.config\wandb\settings
2025-04-18 19:53:17,867 INFO    Thread-13 :26316 [wandb_setup.py:_flush():67] Loading settings from d:\Jamie\IIT Madras\Semester II_1st Year_2024-25\DA6401 Introduction to Deep Learning\Assignments\2\Github\wandb\settings
2025-04-18 19:53:17,867 INFO    Thread-13 :26316 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-18 19:53:17,867 INFO    Thread-13 :26316 [wandb_init.py:setup_run_log_directory():662] Logging user logs to d:\Jamie\IIT Madras\Semester II_1st Year_2024-25\DA6401 Introduction to Deep Learning\Assignments\2\Github\wandb\run-20250418_195317-2pgkbylm\logs\debug.log
2025-04-18 19:53:17,868 INFO    Thread-13 :26316 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to d:\Jamie\IIT Madras\Semester II_1st Year_2024-25\DA6401 Introduction to Deep Learning\Assignments\2\Github\wandb\run-20250418_195317-2pgkbylm\logs\debug-internal.log
2025-04-18 19:53:17,868 INFO    Thread-13 :26316 [wandb_init.py:monkeypatch_ipython():581] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000258F3628D00>
2025-04-18 19:53:17,869 INFO    Thread-13 :26316 [wandb_init.py:init():781] calling init triggers
2025-04-18 19:53:17,869 INFO    Thread-13 :26316 [wandb_init.py:init():786] wandb.init called with sweep_config: {'activation': 'relu', 'augment': True, 'batch_norm': True, 'batch_size': 32, 'dense_neurons': 256, 'dropout': 0.3, 'epochs': 10, 'filter_organization': 'half', 'filters_base': 16, 'kernel_size': 3, 'lr': 0.008660068174708817}
config: {'_wandb': {}}
2025-04-18 19:53:17,869 INFO    Thread-13 :26316 [wandb_init.py:init():809] starting backend
2025-04-18 19:53:17,869 INFO    Thread-13 :26316 [wandb_init.py:init():813] sending inform_init request
2025-04-18 19:53:17,992 INFO    Thread-13 :26316 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-18 19:53:17,992 INFO    Thread-13 :26316 [wandb_init.py:init():823] backend started and connected
2025-04-18 19:53:17,994 INFO    Thread-13 :26316 [wandb_run.py:_config_callback():1327] config_cb None None {'activation': 'relu', 'augment': True, 'batch_norm': True, 'batch_size': 32, 'dense_neurons': 256, 'dropout': 0.3, 'epochs': 10, 'filter_organization': 'half', 'filters_base': 16, 'kernel_size': 3, 'lr': 0.008660068174708817}
2025-04-18 19:53:17,996 INFO    Thread-13 :26316 [wandb_run.py:_label_probe_notebook():1267] probe notebook
2025-04-18 19:53:18,016 INFO    Thread-13 :26316 [wandb_init.py:init():915] updated telemetry
2025-04-18 19:53:18,090 INFO    Thread-13 :26316 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-18 19:53:18,739 INFO    Thread-13 :26316 [wandb_init.py:init():1014] starting run threads in backend
2025-04-18 19:53:19,223 INFO    Thread-13 :26316 [wandb_run.py:_console_start():2454] atexit reg
2025-04-18 19:53:19,224 INFO    Thread-13 :26316 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-18 19:53:19,224 INFO    Thread-13 :26316 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-18 19:53:19,224 INFO    Thread-13 :26316 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-18 19:53:19,229 INFO    Thread-13 :26316 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-18 19:53:19,379 INFO    Thread-13 :26316 [wandb_run.py:_finish():2189] finishing run da24m029-indian-institute-of-technology-madras/da24m029-da6401-assignment2/2pgkbylm
2025-04-18 19:53:19,379 INFO    Thread-13 :26316 [jupyter.py:save_history():460] not saving jupyter history
2025-04-18 19:53:19,379 INFO    Thread-13 :26316 [jupyter.py:save_ipynb():384] not saving jupyter notebook
2025-04-18 19:53:19,379 INFO    Thread-13 :26316 [wandb_init.py:_jupyter_teardown():563] cleaning up jupyter logic
2025-04-18 19:53:19,379 INFO    Thread-13 :26316 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 1
2025-04-18 19:53:19,380 INFO    Thread-13 :26316 [wandb_run.py:_restore():2401] restore
2025-04-18 19:53:19,380 INFO    Thread-13 :26316 [wandb_run.py:_restore():2407] restore done
2025-04-18 19:53:22,061 INFO    Thread-13 :26316 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-18 19:53:22,061 INFO    Thread-13 :26316 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-18 19:53:22,061 INFO    Thread-13 :26316 [wandb_run.py:_footer_sync_info():4025] logging synced files
